-8987,-6840,3029,1516
-8175,-5963,3056,1507
-8103,-5909,3115,1720
-8153,-6711,3208,1699
-8828,-6757,3119,1703
-8799,-6704,3073,1719
-8135,-5828,3135,1596
-8107,-6656,3188,1629
-8233,-5800,3815,1810
-8074,-6694,3173,1685
-8164,-6646,3176,1609
-8819,-5766,3116,1656
-8220,-5859,3151,1871
-8414,-5977,3150,1783
-8928,-6648,3141,1863
-8267,-6666,3145,1935
-8914,-5702,3037,1753
-8097,-5730,3192,1701
-8824,-6672,3089,1664
-8191,-5777,3058,1773
-8886,-6596,3107,1764
-8710,-6429,3251,1766
-8152,-5860,3110,859
-8770,-5687,3212,1901
-8000,-5666,3212,1821
-8802,-5779,3206,954
-8160,-6535,3131,1792
-8876,-5637,3151,1822
-8065,-5697,3265,1819
-8345,-6778,3230,1560
-8039,-5786,3259,916
-8023,-6659,3192,1825
-8734,-6563,3244,1985
-8099,-5608,3132,1788
-8812,-5648,3197,1762
-8732,-5662,3157,1693
-8184,-5787,3113,1692
-8792,-5798,3024,1610
-8729,-6699,3109,1711
-8143,-6696,3093,1753
-8163,-6676,3057,1778
-8096,-5897,3133,1781
-8085,-5771,3246,1724
-8173,-5944,3084,1848
-8214,-5950,3121,1828
-8136,-6056,3042,1637
-8245,-6070,2984,1698
-8072,-5891,3051,1709
-8359,-6841,3118,1708
-8474,-6854,3078,1477
-8278,-6649,3143,1782
-8268,-5901,3097,1587
-8214,-5845,2985,1430
-8339,-6661,3095,1542
-8204,-5738,3106,1637
-8462,-5925,3134,1790
-8838,-5964,3124,1792
-8190,-5843,3092,1710
-8089,-5977,3129,1677
-8778,-6022,3211,1748
-8112,-6823,3268,1787
-8869,-6786,3139,1685
-8807,-6650,3104,1582
-8665,-5754,3084,1830
-8102,-6716,3124,1858
-7985,-5741,3194,1873
-8784,-6562,3095,1857
-8786,-5685,3139,1853
-8017,-5757,3082,1795
-8132,-5844,3104,1952
-8732,-5782,3140,1729
-8105,-5900,3179,1715
-8217,-6760,3109,1776
-8145,-5886,3138,1939
-8761,-6675,3196,1921
-8737,-5893,3134,1925
-8029,-5812,3235,1964
-8670,-6669,3269,3108
-7901,-5743,3304,3239
-8632,-5861,3190,1859
-8026,-5878,3158,2096
-8595,-5870,3179,2096
-8664,-5924,3113,1918
-8758,-6061,3131,1905
-7977,-6885,3084,1891
-8003,-6847,3098,3280
-7960,-5838,3067,1914
-8760,-5914,2970,3258
-8666,-5824,3113,1924
-8613,-6742,3128,1866
-8668,-5868,3097,1796
-8595,-5845,3115,1875
-7901,-6733,2969,1924
-8530,-6643,3143,1936
-7954,-6602,3199,1823
-8036,-6709,3113,1893
-8718,-5849,3201,1811
-8093,-5725,3244,1837
-8089,-5770,3224,1726
-8138,-5969,3239,1895
-8068,-6683,3253,1965
-8070,-5714,3248,2049
-8240,-6614,3268,1826
-8847,-6637,3117,1965
-8786,-6568,3200,1941
-8281,-5653,3117,1776
-8719,-5778,3176,1669
-8316,-5807,3157,1696
-8161,-5943,4044,1984
-7978,-6721,3072,1938
-8036,-5791,3013,1774
-8778,-5848,2995,1525
-8003,-5782,2994,1657
-8101,-5908,2929,3293
-8826,-5972,2998,1572
-8945,-6821,3021,1711
-8225,-6740,2967,1447
-8751,-6724,3034,1561
-8672,-5809,3081,3279
-8588,-5900,3119,3408
-8651,-6614,3108,2601
-8048,-6631,3094,1663
-8658,-5718,3051,3345
-8569,-6642,3146,1673
-7903,-5884,3174,1651
-7858,-6652,3253,1503
-8105,-6626,3283,1716
-8123,-5781,3264,3434
-8859,-6699,3250,1575
-8631,-6606,3151,3438
-7881,-5765,3232,3484
-7944,-6573,3279,3409
-7959,-5815,3160,3378
-8822,-5956,3231,3266
-8551,-6850,3193,2243
-7850,-5903,3292,2484
-7953,-6624,3319,2450
-8671,-6739,3193,2418
-8186,-5870,3184,3096
-8726,-6127,3133,4186
-8722,-6138,3093,3539
-8865,-6320,3089,4140
-8163,-7205,2943,4086
-8241,-6423,2853,4087
-9038,-7252,3004,2047
-8767,-6430,3604,2208
-8847,-6289,2930,2182
-8044,-6483,2839,2122
-8397,-6676,2831,3789
-8945,-6704,3052,3655
-9133,-6847,2765,2838
-9151,-7569,2948,2733
-8558,-7543,2833,2494
-9168,-7516,2206,1845
-9105,-7228,3241,1736
-8959,-6451,2491,1921
-8202,-6643,2819,2058
-8798,-6458,2761,3100
-8067,-6542,3236,2974
-8698,-6595,2507,2872
-8047,-6567,2824,2373
-8662,-6344,3152,2421
-7989,-6472,3207,2571
-8168,-6575,2818,2514
-8642,-6651,2791,2373
-7961,-7282,2808,2529
-8384,-6983,3213,2599
-7893,-6295,3291,2884
-7904,-6367,3379,3061
-8015,-6271,3419,2912
-8542,-6407,3485,2639
-7951,-6619,2733,2664
-7994,-7109,2888,1713
-8131,-6410,3034,1673
-8296,-6537,3202,1398
-8281,-6560,3215,1511
-8130,-6438,3021,2727
-8180,-7081,3226,1594
-8187,-7131,3116,2532
-8754,-6900,2996,2499
-8119,-6295,2968,3290
-8022,-6385,2842,2439
-8827,-6890,2784,2456
-8197,-6780,2818,2620
-8263,-6844,2898,3051
-8819,-6865,2981,2393
-8282,-6758,2811,2594
-8070,-6101,2794,2633
-8880,-6673,2780,2282
-7949,-6655,2924,2288
-8751,-6300,2909,2241
-8003,-6796,3063,2371
-8729,-6781,2901,2357
-8295,-6660,2911,2309
-8239,-6161,2870,2299
-8727,-7010,2773,2298
-7934,-6815,2882,2356
-8109,-6126,2861,2408
-8247,-6120,2939,2405
-8354,-6009,2947,2169
